Ordem;Família;Material;#;Stock inical;nº NE's;UN
1;CAR;A ENCHER PINHO TRATADO 2600 X 25MM 1ª QUALIDADE;47;1,27;1;M
2;CAR;A ENCHER PINHO TRATADO 2600 X 30MM 1ª QUALIDADE;47;3,83;3;M
3;CAR;A ENCHER PINHO TRATADO 2600 X 50MM 1ª QUALIDADE;47;13,83;2;M
4;ABR;ABRAÇADEIRA DE ENCAIXE TUBO VD 16 BÊGE;38;420;1;UN
5;ABR;ABRAÇADEIRA DE ENCAIXE TUBO VD 20 BÊGE;38;90;1;UN
6;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA AÇO INOX 360 X 4,6;49;0;0;UN
7;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA AÇO INOX 360 X 7,9;49;0;0;UN
8;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA BRANCA 102 X 2,5MM_SACO DE 100UN;63;0;1;UN
9;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA BRANCA 295 X 3,6MM_SACO DE 100UN;63;14;1;UN
10;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA BRANCA 360 X 4,8MM_SACO DE 100UN;63;32;2;UN
11;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA BRANCA 365 X 7,8MM_SACO DE 100UN;63;90;3;UN
12;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA PRETA 102 X 2,5MM_SACO DE 100UN;62;1;1;UN
13;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA PRETA 200 X 7,8MM_ SACO DE 100UN;63;0;1;UN
14;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA PRETA 295 X 3,6MM_SACO DE 100UN;62;7;1;UN
15;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA PRETA 360 X 4,8MM_SACO DE 100UN;62;34;2;UN
16;ABR;ABRAÇADEIRA DE FIVELA/SERRILHA PRETA 365 X 7,8MM_SACO DE 100UN;62;99;3;UN
17;ABR;"ABRAÇADEIRA DE INOX C/PARAFUSO DE FIXAÇÃO À PAREDE 110 (3""1/2)";62;54;2;UN
18;ABR;"ABRAÇADEIRA DE INOX C/PARAFUSO DE FIXAÇÃO À PAREDE 20 (1/2"")";60;94;1;UN
19;ABR;"ABRAÇADEIRA DE INOX C/PARAFUSO DE FIXAÇÃO À PAREDE 25 (3/4"")";60;1;1;UN
20;ABR;"ABRAÇADEIRA DE INOX C/PARAFUSO DE FIXAÇÃO À PAREDE 32 (1"")";58;15;1;UN
